Term,Definition,Context,Level
Absolute path (File System),"A file path that is relevant from any place in the system because it begins at the root of the system

C:/websites/fullstack/uploads",File IO,
Absolute path (Web),"A file path that is relevant from any place in the system because it begins at the root of the website

Path: /images/logo.png
is identical to
Full:  https://localhost:3000/images/logo.png",CSS,
Abstract class,"A class that can only be a base class, in other words you can't create an instance of, but can inherit from it.

It is used to define variables and functions that multiple classes have in common. The primary difference is that the base class does NOT have enough information to be a fully functioning class. A class MUST inherit from  it and override any abstract methods to make it usable.",C#,
Abstract method,A method with no implementation. It is declared in an abstract class or interface; any concrete (non-abstract) class that extends the abstract class must override the abstract method and provide an implementation for it,C#,
Abstraction,"When the user/system only has access to what they need to know and the rest of the program's inner workings are hidden. 

This is generally accomplished through public methods of a class (Encapsulation) or with the use of public interfaces (Interface or Base Classes).

When you want to know the balance of a Bank Account, you only need access to the Balance Property - you do not need to know how a Checking Account or Savings Account works.

Balance could be accessed through the base BankAccount class or even through an IAccounting interface.",OOP,
Access modifier,"A keyword that sets the access level for a given class, property, or method (e.g., public, private, protected or internal)",OOP,
ACID compliance,"ACID = referrs to transactions in a database

Atomicity = all or none (statements in your transaction either all happen or none happen)  

Consistency = all database rules must be followed or the entire transaction must fail (i.e. all constraints)  

Isolation = no one else in the database sees the results of the statements until they are all completed  

Durability = once a transaction is committed, the changes to the database are permanent",Databases,
ADO.NET,"A database accessing framework for C#

This is what we use to create DAOs directly includes:

SqlConnection
SqlCommand
SqlDataReader
etc",C#,
Agile,"A methodology that takes an iterative approach to project management and software development.

Opposing: waterfall methodology",Project management,
Aggregate functions,"SQL - Combine values from multiple rows into a single value.

I.e.
SUM(price)
AVG(price)
MIN(price)
MAX(price)
COUNT(*)",Databases,
Alias,"An alternative name given to a database column or expression. It is a temporary short name that is used only for the current query.

In this example c and o are aliases

SELECT *
FROM Customers AS c
INNER JOIN Orders AS o
ON c.CustomerId = o.CustomerId",Databases,
Algorithm,"An algorithm is a list of steps that need to be executed in a specific sequence in order to solve a specific problem.

Programming is like giving instructions to a child - you need to be explicit and be certain to include all steps.

Algorithm to make a PB&J Sandwich
1. Get Bread
2. Get Peanut Butter
3. Get Jelly
4. Open Bread
5. Take out 2 slices of bread
etc...",Computer science,
Ancestor,"HTML works on a hierarchical structure. Elements can be nested within other HTML elements. This is a parent-child relationship. An ancestor could be the immediate parent of a child element or it could be futher up the line, grandparent, great-grandparent etc.",HTML,
Annotation / Attribute,"An Attribute in .NET (or Annotation in Java) is a way to mark or flag parts of your code. It is used to indicate that certain classes or functions should be treated differently.

Attributes can added to Classes, Namespaces, Functions, Properties and other structures.

They are used extensively in UnitTesting and in ASP.NET WebAPI

[TestClass]
[Test]
[HttpGet]",C#,
API,"API stands for Application Programming Interface

A piece of software that acts as an interface through which two programs can interact with one another.

In recent years the term API has become synonymous with Web APIs, but an API is not limited to being accessible only through the web.

A WebAPI is a way to expose functions to the internet so that they can be called by anyone who needs access to that functionality.",C#,
Argument,"When you write a function you create a signature. The signature specifies the input parameters that are required to use that function. 

When you make a call to the function you need to pass a value to each input parameter. This is called an argument. So the terms parameter and argument are often used interchangably.

In other words:
Parameter: the term used for variables defined by the function signature
Argument: the term used for the value being passed to a function
",C#,
Array,"An array is a data structure that stores a list of objects of the same data type.

It is a list of fixed length, meaning that you cannot change the size of the array once it has been created. If you need to changes the size, you need to create a new array, and copy all of the existing elements into it.

Array memory is contiguous, meaning that all elements in the array are stored side by side. This makes them efficient.

An array is ordered, meaning that you can access any element of the array by index position.",Data Structures,
ArrayList,"A list is a data structure that stores a list of objects of the same data type. It is one of the structures found in the Collections namespace in .NET.

It is a list of variable length, meaning that you CAN change the size of the list by adding new elements to the list once it has been created.

.NET Collections have variousl implementations of the IList interface. Like an array, a List (ArrayList in Java) stores data contiguously in memory. And it manages the resizing (re-creation) of the array as it needs to grow.

A List is ordered, meaning that you can access any element of the array by index position.",Data Structures,
Assertion,"An assertion is a statement primarily used in Unit Testing that allows you to validate that the value of a variable is what you expect it to be. 

If the assertion fails, then the test has failed.",Testing,
Assign,Assigning a value to a variable means that you are giving a value to be stored by that variable.,C#,
